## Fri Mar 17 08:47:43 2023
## emapper-2.1.9
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_kqyf1xx6 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_kqyf1xx6 --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_kqyf1xx6/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype CDS --translate --tax_scope 1142 --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
SGL_RS02255	1148.1651725	5.11e-80	238.0	COG0730@1|root,COG0730@2|Bacteria,1G8K7@1117|Cyanobacteria,1H6NA@1142|Synechocystis	1142|Synechocystis	S	Sulfite exporter TauE/SafE	-	-	-	ko:K07090	-	-	-	-	ko00000	-	-	-	TauE
SGL_RS02260	1148.1651726	8.07e-148	416.0	COG1413@1|root,COG1413@2|Bacteria,1G600@1117|Cyanobacteria,1H5RK@1142|Synechocystis	1142|Synechocystis	C	PBS lyase HEAT-like repeat	-	-	4.4.1.32	ko:K02289	ko00196,ko01100,map00196,map01100	-	-	-	ko00000,ko00001,ko00194,ko01000	-	-	-	HEAT_2,HEAT_PBS
SGL_RS02265	1148.1651727	0.0	1180.0	COG1305@1|root,COG1305@2|Bacteria,1G1BB@1117|Cyanobacteria,1H56K@1142|Synechocystis	1142|Synechocystis	E	Transglutaminase/protease-like homologues	-	-	-	-	-	-	-	-	-	-	-	-	Transglut_core
SGL_RS02270	1148.1651728	9.77e-154	434.0	COG3187@1|root,COG3187@2|Bacteria,1GKZT@1117|Cyanobacteria,1H68N@1142|Synechocystis	1142|Synechocystis	O	Heat shock protein	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS02275	1148.1651729	3.21e-189	530.0	COG0330@1|root,COG0330@2|Bacteria,1G06F@1117|Cyanobacteria,1H4S3@1142|Synechocystis	1142|Synechocystis	O	prohibitin homologues	-	-	-	-	-	-	-	-	-	-	-	-	Band_7
SGL_RS02280	1148.1651730	0.0	1259.0	COG1530@1|root,COG1530@2|Bacteria,1FZX1@1117|Cyanobacteria,1H4KH@1142|Synechocystis	1142|Synechocystis	J	Ribonuclease E/G family	rne	GO:0003674,GO:0003824,GO:0004518,GO:0004540,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016787,GO:0016788,GO:0022613,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0044085,GO:0044237,GO:0044238,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071840,GO:0090304,GO:0090305,GO:0090501,GO:0140098,GO:1901360	3.1.26.12	ko:K08300	ko03018,map03018	M00394	-	-	ko00000,ko00001,ko00002,ko01000,ko03009,ko03019	-	-	-	RNase_E_G
SGL_RS02285	1148.1651731	1.08e-131	374.0	COG0164@1|root,COG0164@2|Bacteria,1G507@1117|Cyanobacteria,1H5JA@1142|Synechocystis	1142|Synechocystis	J	Endonuclease that specifically degrades the RNA of RNA- DNA hybrids	-	GO:0003674,GO:0003824,GO:0004518,GO:0004519,GO:0004521,GO:0004523,GO:0004540,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006259,GO:0006260,GO:0006261,GO:0006271,GO:0006273,GO:0006281,GO:0006298,GO:0006401,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009987,GO:0016070,GO:0016787,GO:0016788,GO:0016891,GO:0016893,GO:0019439,GO:0022616,GO:0032299,GO:0032991,GO:0033554,GO:0033567,GO:0034641,GO:0034645,GO:0034655,GO:0043137,GO:0043170,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044265,GO:0044270,GO:0044424,GO:0044464,GO:0046483,GO:0046700,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:0090305,GO:0090501,GO:0090502,GO:0140098,GO:1901360,GO:1901361,GO:1901575,GO:1901576	3.1.26.4	ko:K03470	ko03030,map03030	-	-	-	ko00000,ko00001,ko01000,ko03032	-	-	-	RNase_HII
SGL_RS02290	1148.1651732	8.48e-96	278.0	COG0494@1|root,COG0494@2|Bacteria,1G1E4@1117|Cyanobacteria,1H5R3@1142|Synechocystis	1142|Synechocystis	L	NUDIX domain	mutT	-	3.6.1.55	ko:K03574	-	-	-	-	ko00000,ko01000,ko03400	-	-	-	NUDIX_4
SGL_RS02295	1148.1651733	0.0	1397.0	COG1185@1|root,COG1185@2|Bacteria,1G0M3@1117|Cyanobacteria,1H54T@1142|Synechocystis	1142|Synechocystis	J	Involved in mRNA degradation. Catalyzes the phosphorolysis of single-stranded polyribonucleotides processively in the 3'- to 5'-direction	-	-	2.7.7.8	ko:K00962	ko00230,ko00240,ko03018,map00230,map00240,map03018	M00394	R00437,R00438,R00439,R00440	RC02795	ko00000,ko00001,ko00002,ko01000,ko03016,ko03019	-	-	-	KH_1,PNPase,RNase_PH,RNase_PH_C,S1
SGL_RS02300	1148.1651734	1.08e-143	404.0	COG0681@1|root,COG0681@2|Bacteria,1G519@1117|Cyanobacteria,1H5GN@1142|Synechocystis	1142|Synechocystis	U	Signal peptidase, peptidase S26	-	-	3.4.21.89	ko:K03100	ko02024,ko03060,map02024,map03060	-	-	-	ko00000,ko00001,ko01000,ko01002	-	-	-	Peptidase_S24
SGL_RS02305	1148.1651735	0.0	879.0	COG0281@1|root,COG0281@2|Bacteria,1G158@1117|Cyanobacteria,1H4RS@1142|Synechocystis	1142|Synechocystis	C	Malic enzyme, NAD binding domain	me	-	1.1.1.38	ko:K00027	ko00620,ko01200,ko02020,map00620,map01200,map02020	-	R00214	RC00105	ko00000,ko00001,ko01000	-	-	-	Malic_M,malic
SGL_RS02310	1148.1651736	9.53e-241	660.0	COG0031@1|root,COG0031@2|Bacteria,1G0T4@1117|Cyanobacteria,1H51G@1142|Synechocystis	1142|Synechocystis	E	Pyridoxal-phosphate dependent enzyme	cysM	-	2.5.1.47	ko:K01738	ko00270,ko00920,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00270,map00920,map01100,map01110,map01120,map01130,map01200,map01230	M00021	R00897,R03601,R04859	RC00020,RC02814,RC02821	ko00000,ko00001,ko00002,ko01000	-	-	-	PALP
SGL_RS02315	1148.1651737	1.83e-233	641.0	COG1947@1|root,COG1947@2|Bacteria,1G0YY@1117|Cyanobacteria,1H4FV@1142|Synechocystis	1142|Synechocystis	F	Catalyzes the phosphorylation of the position 2 hydroxy group of 4-diphosphocytidyl-2C-methyl-D-erythritol	ispE	GO:0003674,GO:0003824,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0044237,GO:0050515	2.7.1.148	ko:K00919	ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130	M00096	R05634	RC00002,RC01439	ko00000,ko00001,ko00002,ko01000	-	-	-	GHMP_kinases_C,GHMP_kinases_N
SGL_RS02330	1148.1651740	1.57e-198	550.0	COG0030@1|root,COG0030@2|Bacteria,1G03N@1117|Cyanobacteria,1H5B7@1142|Synechocystis	1142|Synechocystis	J	Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a conserved hairpin near the 3'-end of 16S rRNA in the 30S particle. May play a critical role in biogenesis of 30S subunits	ksgA	GO:0000154,GO:0000179,GO:0001510,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008170,GO:0008173,GO:0008649,GO:0008757,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016433,GO:0016740,GO:0016741,GO:0022613,GO:0031167,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0071840,GO:0090304,GO:0140098,GO:0140102,GO:1901360	2.1.1.182	ko:K02528	-	-	R10716	RC00003,RC03257	ko00000,ko01000,ko03009	-	-	-	RrnaAD
SGL_RS02335	1148.1651741	2.63e-211	584.0	COG1385@1|root,COG1385@2|Bacteria,1G1VG@1117|Cyanobacteria,1H5FG@1142|Synechocystis	1142|Synechocystis	J	Specifically methylates the N3 position of the uracil ring of uridine 1498 (m3U1498) in 16S rRNA. Acts on the fully assembled 30S ribosomal subunit	rsmE	GO:0000154,GO:0001510,GO:0003674,GO:0003824,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0008170,GO:0008173,GO:0008649,GO:0008757,GO:0009451,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016436,GO:0016740,GO:0016741,GO:0022613,GO:0031167,GO:0032259,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043412,GO:0043414,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0070042,GO:0070475,GO:0071704,GO:0071840,GO:0090304,GO:0140098,GO:0140102,GO:1901360	2.1.1.193	ko:K09761	-	-	-	-	ko00000,ko01000,ko03009	-	-	-	Methyltrans_RNA
SGL_RS02340	1148.1651742	5.3e-264	723.0	COG4783@1|root,COG4783@2|Bacteria,1G069@1117|Cyanobacteria,1H5BZ@1142|Synechocystis	1142|Synechocystis	S	chaperone-mediated protein folding	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS02345	1148.1651743	2.68e-73	219.0	COG2002@1|root,COG2002@2|Bacteria,1GIIH@1117|Cyanobacteria,1H6RB@1142|Synechocystis	1142|Synechocystis	K	prlF antitoxin for toxin YhaV_toxin	-	-	-	ko:K19156	-	-	-	-	ko00000,ko02048	-	-	-	PrlF_antitoxin
SGL_RS02350	1148.1651744	1.46e-97	283.0	28N0M@1|root,2ZB6Z@2|Bacteria,1G4ZR@1117|Cyanobacteria,1H5UW@1142|Synechocystis	1142|Synechocystis	S	Toxin with endonuclease activity, of toxin-antitoxin system	-	-	-	ko:K19155	-	-	-	-	ko00000,ko01000,ko02048	-	-	-	Toxin_YhaV
SGL_RS02360	1147.D082_16640	1.03e-285	784.0	COG3307@1|root,COG3307@2|Bacteria,1G15X@1117|Cyanobacteria,1H52D@1142|Synechocystis	1142|Synechocystis	M	O-Antigen ligase	-	-	-	-	-	-	-	-	-	-	-	-	Wzy_C
SGL_RS02365	1148.1651747	9.42e-63	192.0	2CGXD@1|root,32S4S@2|Bacteria,1G7RZ@1117|Cyanobacteria,1H5YG@1142|Synechocystis	1142|Synechocystis	S	Protein of unknown function (DUF3181)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3181
SGL_RS02370	1148.1651748	5.59e-90	263.0	2AICV@1|root,318U5@2|Bacteria,1G759@1117|Cyanobacteria,1H5RY@1142|Synechocystis	1142|Synechocystis	S	Protein of unknown function (DUF3119)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3119
SGL_RS02375	1148.1651749	2.04e-274	752.0	COG5217@1|root,COG5217@2|Bacteria,1GCXH@1117|Cyanobacteria,1H4T5@1142|Synechocystis	1142|Synechocystis	DZ	Protein of unknown function (DUF3086)	-	-	-	-	-	-	-	-	-	-	-	-	DUF3086
SGL_RS02380	1148.1651750	1.59e-286	782.0	COG1104@1|root,COG1104@2|Bacteria,1G0YB@1117|Cyanobacteria,1H4X1@1142|Synechocystis	1142|Synechocystis	E	Aminotransferase class-V	-	-	2.8.1.7	ko:K04487	ko00730,ko01100,ko04122,map00730,map01100,map04122	-	R07460,R11528,R11529	RC01789,RC02313	ko00000,ko00001,ko01000,ko02048,ko03016,ko03029	-	-	-	Aminotran_5
SGL_RS02385	1148.1651751	2.48e-95	279.0	COG3431@1|root,COG3431@2|Bacteria,1G6SK@1117|Cyanobacteria,1H5P7@1142|Synechocystis	1142|Synechocystis	S	Phosphate-starvation-inducible E	-	-	-	-	-	-	-	-	-	-	-	-	PsiE
SGL_RS02390	1148.1651752	7.18e-303	824.0	COG1249@1|root,COG1249@2|Bacteria,1GJ4R@1117|Cyanobacteria,1H67J@1142|Synechocystis	1142|Synechocystis	C	Pyridine nucleotide-disulphide oxidoreductase	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS02395	1148.1651753	2.48e-83	246.0	COG3420@1|root,COG3420@2|Bacteria,1GAYV@1117|Cyanobacteria,1H6KE@1142|Synechocystis	1142|Synechocystis	P	alginic acid biosynthetic process	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS02405	1148.1651754	9.35e-226	622.0	COG0582@1|root,COG0582@2|Bacteria,1GHVX@1117|Cyanobacteria,1H61F@1142|Synechocystis	1142|Synechocystis	L	Phage integrase, N-terminal SAM-like domain	xerC	-	-	ko:K03733	-	-	-	-	ko00000,ko03036	-	-	-	Phage_int_SAM_1,Phage_integrase
SGL_RS02410	1148.1651755	6.26e-51	161.0	2BZ9Y@1|root,2ZEWF@2|Bacteria,1GGVD@1117|Cyanobacteria,1H6SE@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS02415	1148.1651756	1.23e-278	760.0	COG0665@1|root,COG0665@2|Bacteria,1G03X@1117|Cyanobacteria,1H4V6@1142|Synechocystis	1142|Synechocystis	E	FAD dependent oxidoreductase	-	-	-	-	-	-	-	-	-	-	-	-	DAO
SGL_RS18645	1148.1001606	1.31e-124	359.0	COG3335@1|root,COG3415@1|root,COG3335@2|Bacteria,COG3415@2|Bacteria,1G477@1117|Cyanobacteria,1H6VG@1142|Synechocystis	1117|Cyanobacteria	L	Transposase	-	-	-	ko:K07494	-	-	-	-	ko00000	-	-	-	DDE_3,HTH_Tnp_IS630
SGL_RS02430	1148.1651759	0.0	1283.0	COG5002@1|root,COG5002@2|Bacteria,1FZWA@1117|Cyanobacteria,1H4JN@1142|Synechocystis	1142|Synechocystis	T	HAMP domain	-	-	2.7.13.3	ko:K07769	ko02020,map02020	M00466	-	-	ko00000,ko00001,ko00002,ko01000,ko01001,ko02022	-	-	-	HAMP,HATPase_c,HisKA,PAS
SGL_RS02435	1148.1651760	1.62e-100	291.0	28NMP@1|root,2ZBN6@2|Bacteria,1G51J@1117|Cyanobacteria,1H5JX@1142|Synechocystis	1142|Synechocystis	S	PsaD	psaD	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0009521,GO:0009522,GO:0009579,GO:0016020,GO:0030075,GO:0030094,GO:0032991,GO:0034357,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044422,GO:0044424,GO:0044425,GO:0044436,GO:0044444,GO:0044459,GO:0044464,GO:0071944,GO:0098796,GO:0098797	-	ko:K02692	ko00195,ko01100,map00195,map01100	M00163	-	-	ko00000,ko00001,ko00002,ko00194	-	-	-	PsaD
SGL_RS02440	1148.1651761	0.0	1029.0	COG0147@1|root,COG0147@2|Bacteria,1G0KZ@1117|Cyanobacteria,1H4Q0@1142|Synechocystis	1142|Synechocystis	E	Part of a heterotetrameric complex that catalyzes the two-step biosynthesis of anthranilate, an intermediate in the biosynthesis of L-tryptophan. In the first step, the glutamine- binding beta subunit (TrpG) of anthranilate synthase (AS) provides the glutamine amidotransferase activity which generates ammonia as a substrate that, along with chorismate, is used in the second step, catalyzed by the large alpha subunit of AS (TrpE) to produce anthranilate. In the absence of TrpG, TrpE can synthesize anthranilate directly from chorismate and high concentrations of ammonia	-	GO:0000162,GO:0003674,GO:0003824,GO:0004049,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005950,GO:0006082,GO:0006520,GO:0006568,GO:0006576,GO:0006586,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009072,GO:0009073,GO:0009308,GO:0009309,GO:0009987,GO:0016053,GO:0016829,GO:0016830,GO:0016833,GO:0018130,GO:0019438,GO:0019752,GO:0032991,GO:0034641,GO:0042401,GO:0042430,GO:0042435,GO:0043436,GO:0044106,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046219,GO:0046394,GO:0046483,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607,GO:1902494	4.1.3.27	ko:K01657	ko00400,ko00405,ko01100,ko01110,ko01130,ko01230,ko02024,ko02025,map00400,map00405,map01100,map01110,map01130,map01230,map02024,map02025	M00023	R00985,R00986	RC00010,RC02148,RC02414	ko00000,ko00001,ko00002,ko01000	-	-	-	Anth_synt_I_N,Chorismate_bind
SGL_RS02445	1148.1651762	2.44e-211	584.0	COG0142@1|root,COG0142@2|Bacteria,1G1H4@1117|Cyanobacteria,1H4ZW@1142|Synechocystis	1142|Synechocystis	H	Polyprenyl synthetase	crtE	-	2.5.1.1,2.5.1.10,2.5.1.29	ko:K13789	ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130	M00364,M00366	R01658,R02003,R02061	RC00279	ko00000,ko00001,ko00002,ko01000,ko01006	-	-	-	polyprenyl_synt
SGL_RS02450	1148.1651763	6.3e-91	266.0	2AG74@1|root,316C6@2|Bacteria,1G6IX@1117|Cyanobacteria,1H5R1@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS02455	1148.1651764	6.75e-212	585.0	COG1266@1|root,COG1266@2|Bacteria,1G08W@1117|Cyanobacteria,1H5H1@1142|Synechocystis	1142|Synechocystis	S	CAAX protease self-immunity	-	-	-	ko:K07052	-	-	-	-	ko00000	-	-	-	Abi
SGL_RS02460	1148.1651765	4.14e-155	436.0	COG0704@1|root,COG0704@2|Bacteria,1G2MX@1117|Cyanobacteria,1H5BI@1142|Synechocystis	1142|Synechocystis	P	Plays a role in the regulation of phosphate uptake	phoU	GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0008150,GO:0009892,GO:0010563,GO:0010966,GO:0019220,GO:0019222,GO:0031323,GO:0031324,GO:0032879,GO:0034762,GO:0034763,GO:0034765,GO:0034766,GO:0042802,GO:0042803,GO:0043269,GO:0043271,GO:0044070,GO:0044424,GO:0044464,GO:0045936,GO:0046983,GO:0048519,GO:0048523,GO:0050789,GO:0050794,GO:0051049,GO:0051051,GO:0051174,GO:0065007,GO:1903792,GO:1903795,GO:1903796,GO:1903959,GO:1903960,GO:2000185,GO:2000186	-	ko:K02039	-	-	-	-	ko00000	-	-	-	PhoU
SGL_RS02465	1148.1651766	1.47e-102	298.0	COG0779@1|root,COG0779@2|Bacteria,1G5V8@1117|Cyanobacteria,1H5M4@1142|Synechocystis	1142|Synechocystis	J	Required for maturation of 30S ribosomal subunits	rimP	GO:0000028,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006412,GO:0006518,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016043,GO:0019538,GO:0022607,GO:0022613,GO:0022618,GO:0034622,GO:0034641,GO:0034645,GO:0042254,GO:0042255,GO:0042274,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0065003,GO:0070925,GO:0071704,GO:0071826,GO:0071840,GO:1901564,GO:1901566,GO:1901576	-	ko:K09748	-	-	-	-	ko00000,ko03009	-	-	-	DUF150,DUF150_C
SGL_RS02470	1148.1651767	2.86e-291	800.0	COG0195@1|root,COG0195@2|Bacteria,1G072@1117|Cyanobacteria,1H4P1@1142|Synechocystis	1142|Synechocystis	K	Participates in both transcription termination and antitermination	nusA	-	-	ko:K02600	-	-	-	-	ko00000,ko03009,ko03021	-	-	-	KH_5,NusA_N
SGL_RS02480	1148.1651769	0.0	1635.0	COG0532@1|root,COG0532@2|Bacteria,1G1WQ@1117|Cyanobacteria,1H4Y4@1142|Synechocystis	1142|Synechocystis	J	One of the essential components for the initiation of protein synthesis. Protects formylmethionyl-tRNA from spontaneous hydrolysis and promotes its binding to the 30S ribosomal subunits. Also involved in the hydrolysis of GTP during the formation of the 70S ribosomal complex	infB	-	-	ko:K02519	-	-	-	-	ko00000,ko03012,ko03029	-	-	-	GTP_EFTU,IF-2,IF2_N
SGL_RS02485	1148.1651770	3.3e-160	448.0	COG0625@1|root,COG0625@2|Bacteria,1G1DY@1117|Cyanobacteria,1H58B@1142|Synechocystis	1142|Synechocystis	O	Glutathione S-transferase, N-terminal domain	-	-	-	-	-	-	-	-	-	-	-	-	GST_N_3
SGL_RS02490	1148.1651771	0.0	1559.0	COG1523@1|root,COG1523@2|Bacteria,1G0PW@1117|Cyanobacteria,1H6D4@1142|Synechocystis	1142|Synechocystis	G	Carbohydrate-binding module 48 (Isoamylase N-terminal domain)	-	-	3.2.1.68	ko:K01214	ko00500,ko01100,ko01110,map00500,map01100,map01110	M00565	R09995,R11261	-	ko00000,ko00001,ko00002,ko01000	-	CBM48,GH13	-	Alpha-amylase,CBM_48
SGL_RS02495	1148.1651772	1.56e-93	273.0	COG0515@1|root,COG0515@2|Bacteria,1GHC7@1117|Cyanobacteria,1H62Q@1142|Synechocystis	1142|Synechocystis	KLT	serine threonine protein kinase	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS02500	1148.1651773	7.1e-64	195.0	COG3335@1|root,COG3335@2|Bacteria,1G06Q@1117|Cyanobacteria,1H6TK@1142|Synechocystis	1117|Cyanobacteria	L	DDE superfamily endonuclease	-	-	-	ko:K07494	-	-	-	-	ko00000	-	-	-	DDE_3,HTH_Tnp_IS630
SGL_RS02505	1148.1651774	1.83e-187	521.0	COG2875@1|root,COG2875@2|Bacteria,1G2C7@1117|Cyanobacteria,1H4MS@1142|Synechocystis	1142|Synechocystis	H	Tetrapyrrole (Corrin/Porphyrin) Methylases	-	-	2.1.1.133,2.1.1.271	ko:K05936	ko00860,ko01100,map00860,map01100	-	R05181,R05810	RC00003,RC01294,RC02049	ko00000,ko00001,ko01000	-	-	-	TP_methylase
SGL_RS02510	1148.1651775	9.42e-95	276.0	COG3682@1|root,COG3682@2|Bacteria,1G5WE@1117|Cyanobacteria,1H5MR@1142|Synechocystis	1142|Synechocystis	K	Penicillinase repressor	-	-	-	-	-	-	-	-	-	-	-	-	Penicillinase_R
SGL_RS02515	1148.1651776	1.79e-207	573.0	COG0501@1|root,COG0501@2|Bacteria,1G0TE@1117|Cyanobacteria,1H5JF@1142|Synechocystis	1142|Synechocystis	O	Peptidase family M48	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_M48
SGL_RS02520	1148.1651777	3.96e-117	334.0	COG1225@1|root,COG1225@2|Bacteria,1G6AA@1117|Cyanobacteria,1H66C@1142|Synechocystis	1142|Synechocystis	O	Redoxin	-	-	1.11.1.15	ko:K03564	-	-	-	-	ko00000,ko01000	-	-	-	AhpC-TSA
SGL_RS02525	1148.1651778	2.51e-125	356.0	2DZGV@1|root,32VA9@2|Bacteria,1G881@1117|Cyanobacteria,1H60F@1142|Synechocystis	1142|Synechocystis	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SGL_RS02530	1148.1651779	6.28e-84	247.0	COG0011@1|root,COG0011@2|Bacteria,1G96W@1117|Cyanobacteria,1H6P3@1142|Synechocystis	1142|Synechocystis	S	Thiamine-binding protein	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0044424,GO:0044444,GO:0044464	-	-	-	-	-	-	-	-	-	-	Thiamine_BP
SGL_RS02540	1148.1651780	9.07e-198	548.0	COG0589@1|root,COG0589@2|Bacteria,1G2NR@1117|Cyanobacteria,1H55N@1142|Synechocystis	1142|Synechocystis	T	Universal stress protein family	-	-	-	-	-	-	-	-	-	-	-	-	Usp
SGL_RS02545	1148.1651782	2.71e-234	642.0	COG0123@1|root,COG0123@2|Bacteria,1G1JT@1117|Cyanobacteria,1H4WJ@1142|Synechocystis	1142|Synechocystis	BQ	Histone deacetylase domain	-	-	-	-	-	-	-	-	-	-	-	-	Hist_deacetyl
SGL_RS02550	1148.1651783	1.02e-230	634.0	COG0010@1|root,COG0010@2|Bacteria,1G1JZ@1117|Cyanobacteria,1H53M@1142|Synechocystis	1142|Synechocystis	E	Arginase family	speB1	-	3.5.3.11	ko:K01480	ko00330,ko01100,map00330,map01100	M00133	R01157	RC00024,RC00329	ko00000,ko00001,ko00002,ko01000	-	-	-	Arginase
SGL_RS02555	1148.1651784	2.5e-176	491.0	COG0652@1|root,COG0652@2|Bacteria,1G1XY@1117|Cyanobacteria,1H5FV@1142|Synechocystis	1142|Synechocystis	O	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides	-	-	5.2.1.8	ko:K03768	-	-	-	-	ko00000,ko01000,ko03110	-	-	-	Pro_isomerase
SGL_RS02560	1148.1651785	1.8e-129	368.0	2C231@1|root,2Z7YX@2|Bacteria,1G203@1117|Cyanobacteria,1H5EG@1142|Synechocystis	1142|Synechocystis	S	Seems to be required for the assembly of the photosystem I complex	ycf4	-	-	-	-	-	-	-	-	-	-	-	Ycf4
SGL_RS02565	1148.1651786	0.0	1021.0	COG0318@1|root,COG0318@2|Bacteria,1G2WI@1117|Cyanobacteria,1H5Z4@1142|Synechocystis	1142|Synechocystis	IQ	GH3 auxin-responsive promoter	-	-	-	-	-	-	-	-	-	-	-	-	GH3
SGL_RS02570	1148.1651787	1.42e-217	600.0	COG0834@1|root,COG0834@2|Bacteria,1G3VZ@1117|Cyanobacteria,1H623@1142|Synechocystis	1142|Synechocystis	ET	Bacterial periplasmic substrate-binding proteins	-	-	-	ko:K02030	-	M00236	-	-	ko00000,ko00002,ko02000	3.A.1.3	-	-	SBP_bac_3
SGL_RS02580	1148.1651788	1.07e-90	265.0	2CK5Z@1|root,316YV@2|Bacteria,1G6Q6@1117|Cyanobacteria,1H5XP@1142|Synechocystis	1142|Synechocystis	S	Domain of unknown function (DUF1818)	-	-	-	-	-	-	-	-	-	-	-	-	DUF1818
SGL_RS02585	1148.1651789	3.4e-120	343.0	COG1934@1|root,COG1934@2|Bacteria,1G6KC@1117|Cyanobacteria,1H5QX@1142|Synechocystis	1142|Synechocystis	S	OstA-like protein	-	-	-	ko:K09774	-	-	-	-	ko00000,ko02000	1.B.42.1	-	-	OstA
SGL_RS02590	1148.1651790	6.86e-177	493.0	COG1137@1|root,COG1137@2|Bacteria,1G048@1117|Cyanobacteria,1H4KZ@1142|Synechocystis	1142|Synechocystis	S	ATPases associated with a variety of cellular activities	-	-	-	ko:K06861	ko02010,map02010	M00320	-	-	ko00000,ko00001,ko00002,ko01000,ko02000	1.B.42.1	-	-	ABC_tran
